title,url,imdbRating,duration,year,Action,Adventure,Animation,Comedy,Crime,Drama,Horror,Romance,Science-Fiction,Thriller,,,,
Der Vagabund und das Kind (1921),http://www.imdb.com/title/tt0012349/,8.4,3240,1921,0,0,0,1,0,1,0,0,0,0,,,,
Goldrausch (1925),http://www.imdb.com/title/tt0015864/,8.3,5700,1925,0,1,0,1,0,0,0,0,0,0,,,,
Metropolis (1927),http://www.imdb.com/title/tt0017136/,8.4,9180,1927,0,0,0,0,0,1,0,0,1,0,,,,
Der General (1926),http://www.imdb.com/title/tt0017925/,8.3,6420,1926,1,1,0,1,0,0,0,0,0,0,,,,
Lichter der Großstadt (1931),http://www.imdb.com/title/tt0021749/,8.7,5220,1931,0,0,0,1,0,1,0,1,0,0,,,,
M (1931),http://www.imdb.com/title/tt0022100/,8.5,7020,1931,0,0,0,0,1,1,0,0,0,1,,,,
Es geschah in einer Nacht (1934),http://www.imdb.com/title/tt0025316/,8.3,6300,1934,0,0,0,1,0,0,0,1,0,0,,,,
Moderne Zeiten (1936),http://www.imdb.com/title/tt0027977/,8.6,5220,1936,0,0,0,1,0,1,0,0,0,0,,,,
Vom Winde verweht (1939),http://www.imdb.com/title/tt0031381/,8.2,14280,1939,0,0,0,0,0,1,0,1,0,0,,,,
Mr. Smith geht nach Washington (1939),http://www.imdb.com/title/tt0031679/,8.4,7740,1939,0,0,0,0,0,1,0,0,0,0,,,,
Der Zauberer von Oz (1939),http://www.imdb.com/title/tt0032138/,8.1,6120,1939,0,1,0,0,0,0,0,0,0,0,,,,
Früchte des Zorns (1940),http://www.imdb.com/title/tt0032551/,8.2,7740,1940,0,0,0,0,0,1,0,0,0,0,,,,
Der große Diktator (1940),http://www.imdb.com/title/tt0032553/,8.5,7500,1940,0,0,0,1,0,1,0,0,0,0,,,,
Rebecca (1940),http://www.imdb.com/title/tt0032976/,8.3,7800,1940,0,0,0,0,0,1,0,0,0,1,,,,
Citizen Kane (1941),http://www.imdb.com/title/tt0033467/,8.5,7140,1941,0,0,0,0,0,1,0,0,0,0,,,,
Die Spur des Falken (1941),http://www.imdb.com/title/tt0033870/,8.2,6000,1941,0,0,0,0,1,1,0,0,0,0,,,,
Casablanca (1942),http://www.imdb.com/title/tt0034583/,8.6,6120,1942,0,0,0,0,0,1,0,1,0,0,,,,
